399,Dai the Flu/Deftones,"['haimond', 'Jackson_Joe', 'Marcelosgc1', 'suicidxbladxs']"
366,Sunsetz/Cigarettes After Sex,"['haimond', 'Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'PbzSmith']"
355,Fist/Deftones,"['haimond', 'Jackson_Joe', 'OsvaldoMusicas', 'suicidxbladxs']"
350,Please Please Please Let Me Get What I Want - 2005 Remaster/Deftones,"['haimond', 'Jackson_Joe', 'OsvaldoMusicas', 'suicidxbladxs']"
333,Cry/Cigarettes After Sex,"['Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'suicidxbladxs']"
324,Walkin/Denzel Curry,"['haimond', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
313,Screaming/Loathe,"['haimond', 'Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'suicidxbladxs']"
308,Something I Dreamed Last Night/Miles Davis Quintet,"['haimond', 'Jackson_Joe', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
303,going home/Shiro Sagisu,"['haimond', 'Jackson_Joe', 'OsvaldoMusicas', 'suicidxbladxs']"
291,Pink Maggit/Deftones,"['haimond', 'Marcelosgc1', 'suicidxbladxs']"
288,K./Cigarettes After Sex,"['haimond', 'Jackson_Joe', 'OsvaldoMusicas', 'suicidxbladxs']"
286,Duvet/bôa,"['Marcelosgc1', 'PbzSmith']"
280,Apocalypse/Cigarettes After Sex,"['Jackson_Joe', 'OsvaldoMusicas', 'suicidxbladxs']"
277,Danny's Dream/Lars Gullin,"['haimond', 'Jackson_Joe', 'OsvaldoMusicas', 'suicidxbladxs']"
276,John Wayne/Cigarettes After Sex,"['haimond', 'Jackson_Joe', 'OsvaldoMusicas', 'suicidxbladxs']"
276,Sweet/Cigarettes After Sex,"['haimond', 'Jackson_Joe', 'OsvaldoMusicas', 'suicidxbladxs']"
274,I'm a Firefighter/Cigarettes After Sex,"['haimond', 'Jackson_Joe', 'OsvaldoMusicas', 'suicidxbladxs']"
273,Teenager/Deftones,"['PbzSmith', 'suicidxbladxs']"
264,Touch/Cigarettes After Sex,"['Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
262,Heavenly/Cigarettes After Sex,"['Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas']"
257,Opera House/Cigarettes After Sex,"['haimond', 'Jackson_Joe', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
254,Affection/Cigarettes After Sex,"['haimond', 'Jackson_Joe', 'OsvaldoMusicas', 'suicidxbladxs']"
