weight,name,listeners
-0.10629462229875447,Chico Buarque,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.10420530558697498,Iron Maiden,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.10410572366411602,7 Minutoz,"['PbzSmith', 'haimond', 'suicidxbladxs']"
-0.09608546865399609,The Smiths,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-0.09143275425204228,Lady Gaga,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.09050858545106087,bôa,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.08812529640879925,Taylor Swift,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.08727210107642497,Lyn,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.08514942042691573,Lamp,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.08462988110102503,My Chemical Romance,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.08404253339611625,Frank Ocean,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.08389355606706604,Metallica,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.08268626104086954,Metro Boomin,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.07586468737287724,Yeat,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.0751513103403965,Duster,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-0.0748439269947132,Jupiter Apple,"['suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.07222634376931773,System of a Down,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.07091851302100655,Shiro Sagisu,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.07037823937235248,Elvis Presley,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.06937474282238484,Don Toliver,"['Jackson_Joe', 'haimond', 'suicidxbladxs']"
-0.06844723224753296,MASS OF THE FERMENTING DREGS,"['Jackson_Joe', 'PbzSmith', 'haimond', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.06501760249146586,Superheaven,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.06409833685233095,Nujabes,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.06073740484896153,Molchat Doma,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1']"
-0.0595126102362891,tricot,"['haimond', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.05918543070544285,Azumi Takahashi,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.05884326856731813,LE SSERAFIM,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.058513757503599884,Arctic Monkeys,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.057704777120479375,Oasis,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
