weight,name,listeners
-2667600,Toxicity/System of a Down,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-2331000,The Dark Side of the Moon/Pink Floyd,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-2020320,The Beginning: Cupid/Fifty Fifty,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-1844577,Blonde/Frank Ocean,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-1834560,Persona 3 Reload Original Soundtrack/高橋あず美,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-1811376,Adrenaline/Deftones,"['Jackson_Joe', 'suicidxbladxs', 'OsvaldoMusicas']"
-1709840,"CALL ME IF YOU GET LOST: The Estate Sale/Tyler, the Creator","['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-1360128,Minutes to Midnight/Linkin Park,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-1324400,Meteora/Linkin Park,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-1291626,Chocolate Starfish and the Hot Dog Flavored Water/Limp Bizkit,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-1275680,"Nada Como um Dia Após o Outro Dia, Vol. 1 & 2/Racionais MC's","['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-1234800,Chico Buarque/Chico Buarque,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-889350,Daydream Nation (Deluxe Edition)/Sonic Youth,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-831480,Isolation/Kali Uchis,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
